tool shed,Kho công cụ,/tuːl ʃed/
lawn chair,ghế ngồi bên ngoài,/lɔːn tʃeər/
grill,vĩ nướng,/ɡrɪl/
barbecue,tiệc nướng ngoài trời,/ˈbɑː.bɪ.kjuː/
satellite dish,đĩa vệ tinh,/ˈsæt.əl.aɪt dɪʃ/
patio,sân trong,/ˈpæt.i.əʊ/
garage,nhà để xe ,/ˈɡær.ɑːʒ/
side door,cửa hông,/saɪd dɔːr/
screen door,cửa chính nhìn ra ngoài,/skriːn dɔːr/
doorknob,tay cầm cửa,/ˈdɔː.nɒb/
back door,cửa sau,/bæk dɔːr/
deck,hiên nhà,/dek/
downspout,ống nước mưa,/ˈdaʊn.spaʊt/
drainpipe,ống thoát nước,/ˈdreɪn.paɪp/
gutter,máng nước ,/ˈɡʌt.ər/
driveway,đường lái xe vào nhà,/ˈdraɪv.weɪ/
garage door,cửa gara ,/ˈɡær.ɑːʒ dɔːr/
porch,hành lang ,/pɔːtʃ/
chimney,ống khói ,/ˈtʃɪm.ni/
tv antenna,ăng ten tivi ,/ˌtiːˈviː ænˈten.ə/
roof,mái nhà ,/ruːf/
shutter, cửa chớp ,/ˈʃʌt.ər/
light,ánh sáng,/laɪt/
doorbell,chuông cửa ,/ˈdɔː.bel/
front door,cửa chính ,/frʌnt dɔːr/
storm door,cửa bão ,/stɔːm dɔːr/
mailbox,hộp thư,/ˈmeɪl.bɒks/
front steps,nấc thang bước vào nhà ,/frʌnt step/
front walk,đường đi bộ vào nhànhà ,/frʌnt wɔːk/
lamppost,cột đènđèn,/ˈlæmp.pəʊst/
lawnmower,máy  (xe) cắt cỏ ,/ˈlɔːnˌməʊ.ər/
