smoke detector,máy dò khói,/sməʊk dɪˈtek.tər/
lobby,hành lang ,/ˈlɒb.i/
doorman,người giữ cửa,/ˈdɔː.mən/
whirlpool,xoáy nước,/ˈwɜːl.puːl/
storage room,nhà kho,/ˈstɔː.rɪdʒ ruːm/
air conditioner,điều hoà,/eər kənˈdɪʃ.ən.ər/
elevator,thang máy,/ˈel.ɪ.veɪ.tər/
swimming pool,bể bơi,/ puːl/
superintendent,người quản lý,/ˌsuː.pə.rɪnˈten.dənt/
dead-bolt lock,khoá chốt cửa ,/ˈded.bəʊlt lɒk/
terrace,sân thượng ,/ˈter.əs/
balcony,ban công,/ˈbæl.kə.ni/
laundry room,phòng giặt đồ,/ˈlɔːn.dri ruːm/
chain,"dây xích, chuỗi hạt ",/tʃeɪn/
buzzer,bảng báo hiệu,/ˈbʌz.ər/
parking lot,bãi đậu xe,/ˈpɑː.kɪŋ lɒt/
garbage chute,máng rác ,/ˈɡɑː.bɪdʒ ʃuːt/
peephole,lỗ nhìn,/ˈpiːp.həʊl/
intercom,liên lạc,/ˈɪn.tə.kɒm/
parking garage,gara đỗ xe ,/ˈpɑː.kɪŋ ˈɡær.ɑːʒ/
fire alarm,chuông báo cháy ,/faɪər əˈlɑːm/
