apartment,căn hộ,/əˈpɑːt.mənt/
building,toà nhà / căn hộ,/ˈbɪl.dɪŋ/
condominium,chung cư,/ˌkɒn.dəˈmɪn.i.əm/
condo,khu căn hộ,/ˈkɒn.dəʊ/
dormitory,ký túc xá,/ˈdɔː.mɪ.tər.i/
dorm,ký túc ,//
nursing home,viện dưỡng lão,/ˈnɜː.sɪŋ həʊm/
duplex,nhà ( có 2 hộ gđ sống ),/ˈdjuː.pleks/
mobile home,nhà di động,/ˈməʊ.baɪl həʊm/
trailer,nhà di động,/ˈtreɪ.lər/
shelter,hầm / chỗ ẩn náu,/ˈʃel.tər/
townhouse,nhà liền kề,/ˈtaʊn.haʊs/
houseboat,nhà trên sông,/ˈhaʊs.bəʊt/
townhome,nhà liền kề,/ˈtaʊn.haʊs/
farmhouse,nhà trang trại,/ˈfɑːm.haʊs/
cabin,lều ở tạm,/ˈkæb.ɪn/
